Index,Deflection_nm,Excitation
0,-0.003357,-99.12723447668611
1,-0.001831,-99.28506586118226
2,-0.002747,-99.42721898282994
3,-0.002747,-99.55367139400333
4,-0.003662,-99.66440312640084
5,-0.003052,-99.75939669419829
6,-0.004883,-99.8386370968101
7,-0.003662,-99.90211182125813
8,-0.004272000000000001,-99.94981084414756
9,-0.003967,-99.98172663324974
10,-0.003967,-99.99785414869157
11,-0.002441,-99.99819084375144
12,-0.004272000000000001,-99.98273666526127
13,-0.0021360000000000003,-99.95149405361501
14,-0.001831,-99.9044679423832
15,-0.003967,-99.84166575753395
16,-0.0045780000000000005,-99.76309741626028
17,-0.002747,-99.66877532541407
18,-0.002441,-99.55871437954688
19,-0.001831,-99.43293195855793
20,-0.003662,-99.29144792494962
21,-0.001831,-99.13428462069098
22,-0.001221,-98.96146686368962
23,-0.003052,-98.77302194387279
24,-0.003967,-98.56897961887782
25,-0.002441,-98.34937210935315
26,-0.002747,-98.11423409387035
27,-0.003357,-97.86360270344784
28,-0.003967,-97.59751751568758
29,-0.003662,-97.31602054852527
30,-0.0021360000000000003,-97.01915625359526
31,-0.003052,-96.70697150921106
32,-0.002441,-96.37951561296279
33,-0.003357,-96.03684027393243
34,-0.002441,-95.67899960452844
35,-0.003357,-95.30605011194075
36,-0.001831,-94.91805068921761
37,-0.001831,-94.51506260596568
38,-0.001526,-94.09714949867492
39,-0.0021360000000000003,-93.66437736066955
40,-0.003357,-93.21681453168702
41,-0.004272000000000001,-92.75453168708634
42,-0.003357,-92.27760182668762
43,-0.005798,-91.78610026324458
44,-0.004883,-91.28010461055175
45,-0.004272000000000001,-90.75969477118835
46,-0.005188,-90.22495292390083
47,-0.002441,-89.6759635106258
48,-0.002747,-89.11281322315568
49,-0.003662,-88.53559098944913
50,-0.005188,-87.94438795958821
51,-0.003052,-87.33929749138478
52,-0.003662,-86.72041513563823
53,-0.003662,-86.0878386210468
54,-0.003967,-85.44166783877522
55,-0.004272000000000001,-84.78200482668066
56,-0.004883,-84.10895375319978
57,-0.00824,-83.42262090089937
58,-0.005188,-82.72311464969299
59,-0.003662,-82.01054545972666
60,-0.003357,-81.28502585393585
61,-0.0045780000000000005,-80.54667040027675
62,-0.004272000000000001,-79.79559569363485
63,-0.004883,-79.03192033741304
64,-0.003357,-78.25576492480286
65,-0.006104,-77.46725201974145
66,-0.006409,-76.66650613755725
67,-0.003662,-75.85365372530758
68,-0.005798,-75.02882314181124
69,-0.002441,-74.19214463737912
70,-0.004272000000000001,-73.3437503332461
71,-0.0054930000000000005,-72.48377420070776
72,-0.004883,-71.61235203996453
73,-0.0045780000000000005,-70.7296214586775
74,-0.003052,-69.83572185023834
75,-0.004272000000000001,-68.93079437175767
76,-0.0054930000000000005,-68.01498192177459
77,-0.005188,-67.08842911769135
78,-0.007324,-66.15128227293671
79,-0.008545,-65.20368937386117
80,-0.0076289999999999995,-64.24580005636835
81,-0.006104,-63.277765582285696
82,-0.006104,-62.299738815478456
83,-0.0076289999999999995,-61.31187419771077
84,-0.006104,-60.314327724257474
85,-0.007324,-59.30725691927067
86,-0.007019,-58.290820810904755
87,-0.006104,-57.26517990620417
88,-0.0054930000000000005,-56.23049616575738
89,-0.004883,-55.186932978121405
90,-0.006714,-54.134655134020996
91,-0.007324,-53.07382880032608
92,-0.007019,-52.00462149381222
93,-0.0054930000000000005,-50.92720205470782
94,-0.00824,-49.84174062003214
95,-0.006714,-48.748408596728744
96,-0.00885,-47.64737863459844
97,-0.006409,-46.53882459903582
98,-0.007324,-45.42292154357384
99,-0.006409,-44.2998456822409
100,-0.00885,-43.16977436173465
101,-0.006714,-42.032886033416766
102,-0.007324,-40.88936022513353
103,-0.006409,-39.73937751286627
104,-0.005188,-38.58311949221624
105,-0.006714,-37.420768749728666
106,-0.006104,-36.252508834060194
107,-0.007935,-35.07852422699443
