Index,Deflection_nm,Excitation
0,0.00885,0.0
1,0.009155,0.012566039883352606
2,0.009460000000000001,0.025130095443337476
3,0.01068,0.03769018266993454
4,0.0116,0.05024431817976955
5,0.009766,0.06279051952931336
6,0.01099,0.07532680552793272
7,0.01007,0.08785119655074317
8,0.009460000000000001,0.10036171485121488
9,0.009155,0.11285638487348168
10,0.01099,0.12533323356430423
11,0.01099,0.13779029068463805
12,0.01007,0.15022558912075706
13,0.01282,0.16263716519488355
14,0.01251,0.17502305897527604
15,0.0119,0.18738131458572457
16,0.01038,0.199709980514407
17,0.01221,0.21200710992205463
18,0.01251,0.22427076094938117
19,0.009766,0.23649899702372462
20,0.01282,0.24868988716485474
21,0.013730000000000001,0.2608415062898969
22,0.01343,0.27295193551732516
23,0.01343,0.2850192624699761
24,0.01312,0.2970415815770349
25,0.01007,0.30901699437494734
26,0.0119,0.32094360980720943
27,0.01221,0.3328195445229866
28,0.014039999999999999,0.34464292317451706
29,0.01038,0.3564118787132507
30,0.01343,0.36812455268467786
31,0.01343,0.37977909552180106
32,0.01221,0.39137366683720237
33,0.01282,0.4029064357136626
34,0.00885,0.4143755809932841
35,0.009460000000000001,0.4257792915650726
36,0.01038,0.4371157666509329
37,0.01251,0.4483832160900322
38,0.0116,0.45957986062148776
39,0.009766,0.47070393216533246
40,0.01251,0.4817536741017152
41,0.01129,0.4927273415482915
42,0.0119,0.5036232016357608
43,0.009155,0.5144395337815063
44,0.009766,0.5251746299612956
45,0.01099,0.5358267949789965
46,0.01068,0.5463943467342691
47,0.01038,0.556875616488188
48,0.01221,0.5672689491267565
49,0.01038,0.5775727034222675
50,0.01099,0.587785252292473
51,0.0116,0.5979049830575188
52,0.01068,0.6079302976946053
53,0.0119,0.6178596130903343
54,0.00885,0.6276913612907005
55,0.009155,0.6374239897486896
56,0.008545,0.6470559615694442
57,0.009766,0.6565857557529563
58,0.009460000000000001,0.6660118674342516
59,0.01099,0.6753328081210244
60,0.009766,0.6845471059286885
61,0.00885,0.6936533058128049
62,0.008545,0.7026499697988492
63,0.01007,0.7115356772092853
64,0.01007,0.7203090248879068
65,0.00885,0.7289686274214114
66,0.009766,0.7375131173581738
67,0.007935,0.7459411454241821
68,0.009460000000000001,0.7542513807361038
69,0.0076289999999999995,0.7624425110114478
70,0.007935,0.7705132427757891
71,0.008545,0.7784623015670233
72,0.008545,0.7862884321366189
73,0.00824,0.7939903986478353
74,0.009155,0.8015669848708765
75,0.006714,0.8090169943749473
76,0.006409,0.8163392507171838
77,0.00824,0.8235325976284275
78,0.005798,0.8305958991958126
79,0.007324,0.8375280400421417
80,0.007019,0.844327925502015
81,0.0054930000000000005,0.8509944817946917
82,0.004272000000000001,0.8575266561936522
83,0.0054930000000000005,0.8639234171928353
84,0.006714,0.8701837546695256
85,0.003662,0.8763066800438635
86,0.005798,0.8822912264349532
87,0.004272000000000001,0.8881364488135445
88,0.003052,0.8938414241512637
89,0.0045780000000000005,0.899405251566371
90,0.002747,0.9048270524660195
91,0.002441,0.9101059706849955
92,0.005188,0.9152411726209175
93,0.003967,0.9202318473658703
94,0.003357,0.9250772068344579
95,0.003052,0.9297764858882513
96,0.0006104,0.934328942456612
97,0.003357,0.9387338576538741
98,0.002441,0.9429905358928644
99,0.0,0.9470983049947442
100,-0.001526,0.9510565162951535
101,0.0006104,0.954864544746643
102,-0.0009155,0.9585217890173758
103,-0.001221,0.9620276715860858
104,-0.0006104,0.9653816388332738
105,-0.0003052,0.9685831611286311
106,0.0,0.9716317329146739
107,-0.0006104,0.9745268727865771
108,-0.001831,0.9772681235681935
109,-0.0009155,0.9798550523842469
110,-0.0021360000000000003,0.9822872507286886
111,0.0006104,0.9845643345292053
112,-0.0021360000000000003,0.986685944207868
113,-0.003357,0.988651744737914
114,-0.002747,0.9904614256966512
115,-0.003052,0.9921147013144778
116,-0.0045780000000000005,0.9936113105200084
117,-0.004883,0.9949510169813002
118,-0.003662,0.9961336091431725
119,-0.003357,0.9971589002606139
120,-0.003967,0.9980267284282716
121,-0.0045780000000000005,0.9987369566060175
122,-0.004883,0.9992894726405892
123,-0.003052,0.9996841892832999
124,-0.006104,0.9999210442038161
125,-0.006409,1.0
126,-0.006104,0.9999210442038161
127,-0.006409,0.9996841892832999
128,-0.005188,0.9992894726405892
129,-0.006409,0.9987369566060175
130,-0.005798,0.9980267284282716
131,-0.0076289999999999995,0.9971589002606139
132,-0.007935,0.9961336091431725
133,-0.00824,0.9949510169813002
134,-0.006409,0.9936113105200084
135,-0.00824,0.9921147013144779
136,-0.007019,0.9904614256966513
137,-0.006714,0.9886517447379141
138,-0.00885,0.9866859442078681
139,-0.009766,0.9845643345292054
140,-0.01068,0.9822872507286887
141,-0.008545,0.979855052384247
142,-0.008545,0.9772681235681936
143,-0.007935,0.9745268727865772
144,-0.009460000000000001,0.971631732914674
145,-0.009155,0.9685831611286312
146,-0.009460000000000001,0.965381638833274
147,-0.009155,0.9620276715860859
148,-0.01068,0.958521789017376
149,-0.0116,0.9548645447466431
150,-0.01221,0.9510565162951536
151,-0.01068,0.9470983049947445
152,-0.01068,0.9429905358928646
153,-0.01129,0.9387338576538742
154,-0.014039999999999999,0.9343289424566121
155,-0.01282,0.9297764858882515
156,-0.0116,0.9250772068344582
157,-0.01007,0.9202318473658704
158,-0.01221,0.9152411726209176
159,-0.0116,0.9101059706849959
160,-0.01251,0.9048270524660197
161,-0.01312,0.8994052515663712
162,-0.01099,0.893841424151264
163,-0.01221,0.8881364488135446
164,-0.0119,0.8822912264349535
