Index,Deflection_nm,Excitation
67,-0.019530000000000002,-71.17370573645881
68,-0.01862,-70.28538973411199
69,-0.019530000000000002,-69.38597485395206
70,-0.0177,-68.47560312401497
71,-0.01709,-67.55441830255022
72,-0.01862,-66.62256585531982
73,-0.01862,-65.6801929326276
74,-0.018920000000000003,-64.72744834608235
75,-0.01587,-63.764482545098886
76,-0.01862,-62.79144759314023
77,-0.01923,-61.80849714370502
78,-0.02106,-60.81578641606402
79,-0.01923,-59.81347217074896
80,-0.0177,-58.80171268479837
81,-0.01709,-57.78066772676378
82,-0.019530000000000002,-56.75049853148037
83,-0.019530000000000002,-55.71136777460618
84,-0.01862,-54.66343954693373
85,-0.02106,-53.60687932847814
86,-0.01923,-52.5418539623459
87,-0.018920000000000003,-51.46853162838851
88,-0.02045,-50.38708181664487
89,-0.01923,-49.297675300576785
90,-0.01984,-48.20048411010197
91,-0.02197,-47.09568150442844
92,-0.02106,-45.98344194469485
93,-0.02136,-44.86394106642127
94,-0.02014,-43.737355651773996
95,-0.02045,-42.60386360164978
96,-0.02106,-41.463643907583204
97,-0.02075,-40.31687662348183
98,-0.021670000000000002,-39.16374283719355
99,-0.02136,-38.00442464191075
100,-0.023190000000000002,-36.83910510741574
101,-0.021670000000000002,-35.6679682511718
102,-0.023190000000000002,-34.49119900926479
103,-0.02228,-33.308983207199574
104,-0.02106,-32.12150753055597
105,-0.021670000000000002,-30.928959495508924
106,-0.02136,-29.731527419217674
107,-0.02228,-28.52940039008815
108,-0.023190000000000002,-27.322768237913706
109,-0.02197,-26.11182150389894
110,-0.02136,-24.896751410570875
111,-0.021670000000000002,-23.677749831582755
112,-0.021670000000000002,-22.45500926141505
113,-0.0238,-21.22872278497826
114,-0.023190000000000002,-19.99908404712256
115,-0.02014,-18.766287222059063
116,-0.0235,-17.5305269826975
117,-0.02258,-16.29199846990507
118,-0.0238,-15.050897261691388
119,-0.02136,-13.80741934232457
120,-0.02197,-12.561761071382913
121,-0.02411,-11.31411915274749
122,-0.02563,-10.064690603540459
123,-0.02472,-8.813672723013559
124,-0.02441,-7.5612630613922915
125,-0.02258,-6.307659388680712
126,-0.02441,-5.053059663430972
127,-0.0235,-3.797662001483452
128,-0.02563,-2.5416646446819806
129,-0.02563,-1.2852659295692248
130,-0.0235,-0.028664256066914907
131,-0.0238,1.2279419438537367
132,-0.02228,2.484354237506677
133,-0.0238,3.7403742228260115
134,-0.02411,4.995803559695724
135,-0.02563,6.25044400127019
136,-0.02472,7.504097425279389
137,-0.02441,8.7565658653149
138,-0.02502,10.007651542090926
139,-0.02228,11.257156894676076
140,-0.02289,12.504884611690478
141,-0.021670000000000002,13.75063766246345
142,-0.02258,14.994219328147071
143,-0.02411,16.235433232780316
144,-0.023190000000000002,17.47408337429897
145,-0.0238,18.7099741554868
146,-0.02075,19.942910414862578
147,-0.02136,21.17269745749832
148,-0.021670000000000002,22.399141085763805
149,-0.02197,23.622047629992764
150,-0.02106,24.84122397906551
151,-0.02197,26.056477610903332
152,-0.02289,27.26761662287013
153,-0.02289,28.47444976207597
154,-0.02106,29.676786455578064
155,-0.02136,30.874436840474583
156,-0.02075,32.067211793886166
157,-0.02045,33.2549229628206
158,-0.02014,34.43738279391588
159,-0.01831,35.61440456305721
160,-0.01709,36.785802404862764
161,-0.01709,37.95139134203405
162,-0.01648,39.1109873145659
163,-0.0174,40.26440720881192
164,-0.01495,41.41146888639976
165,-0.01801,42.5519912129935
166,-0.01587,43.68579408689639
167,-0.01495,44.81269846749112
168,-0.01526,45.93252640351259
169,-0.01648,47.04510106114821
170,-0.01282,48.15024675196212
171,-0.01312,49.24778896063857
172,-0.013730000000000001,50.33755437253965
173,-0.01343,51.41937090107387
174,-0.014039999999999999,52.49306771487055
175,-0.01312,53.5584752647561
176,-0.009766,54.615425310527776
177,-0.01007,55.66375094752085
178,-0.01068,56.703286632964655
179,-0.00824,57.73386821212372
180,-0.007935,58.75533294421989
181,-0.006409,59.76751952813074
182,-0.0076289999999999995,60.770268127860994
183,-0.008545,61.76342039778264
184,-0.007019,62.74681950763915
185,-0.005188,63.72031016731117
186,-0.0045780000000000005,64.68373865133853
187,-0.003357,65.63695282319516
188,-0.003052,66.57980215931327
189,-0.003052,67.51213777285292
190,-0.0009155,68.4338124372127
191,-0.0009155,69.34468060927868
192,0.001831,70.2445984524075
193,0.0054930000000000005,71.13342385913938
194,0.005798,72.01101647363915
195,0.006714,72.87723771385953
196,0.009766,73.73195079342513
197,0.01038,74.57502074323259
198,0.014039999999999999,75.40631443276361
199,0.015560000000000001,76.22570059110795
200,0.01923,77.03304982769264
201,0.01984,77.82823465271407
202,0.02136,78.61112949727034
