Index - Plot 0;Deflection - Plot 0
373;-18.62mV
374;-19.84mV
375;-21.36mV
376;-20.14mV
377;-19.23mV
378;-18.92mV
379;-21.67mV
380;-18.01mV
381;-19.84mV
382;-19.84mV
383;-17.09mV
384;-20.45mV
385;-18.01mV
386;-18.01mV
387;-16.48mV
388;-18.92mV
389;-17.40mV
390;-15.26mV
391;-18.62mV
392;-14.95mV
393;-16.17mV
394;-15.56mV
395;-16.17mV
396;-15.87mV
397;-15.26mV
398;-13.43mV
399;-13.73mV
400;-13.43mV
401;-17.70mV
402;-14.65mV
403;-12.21mV
404;-12.82mV
405;-13.12mV
406;-13.12mV
407;-13.73mV
408;-13.43mV
409;-13.73mV
410;-12.51mV
411;-12.21mV
412;-12.51mV
413;-12.21mV
414;-13.43mV
415;-10.38mV
416;-10.68mV
417;-10.38mV
418;-10.07mV
419;-10.99mV
420;-11.60mV
421;-8.545mV
422;-7.935mV
423;-9.766mV
424;-8.545mV
425;-8.545mV
426;-8.850mV
427;-10.07mV
428;-9.155mV
429;-10.38mV
430;-7.324mV
431;-7.629mV
432;-8.545mV
433;-8.545mV
434;-6.409mV
435;-8.545mV
436;-6.714mV
437;-6.714mV
438;-7.019mV
439;-4.883mV
440;-5.493mV
441;-6.714mV
442;-7.019mV
443;-6.104mV
444;-5.188mV
445;-5.493mV
446;-6.714mV
447;-4.883mV
448;-6.714mV
449;-5.493mV
450;-6.104mV
451;-4.272mV
452;-3.052mV
453;-5.188mV
454;-4.883mV
455;-5.798mV
456;-2.747mV
457;-3.967mV
458;-2.747mV
459;-3.052mV
460;-4.272mV
461;-3.967mV
462;-3.357mV
463;-5.493mV
464;-3.052mV
465;-3.967mV
466;-5.798mV
467;-4.578mV
468;-3.662mV
469;-2.441mV
470;-3.357mV
471;-3.967mV
472;-3.662mV
473;-2.441mV
474;-4.272mV
475;-3.967mV
476;-2.747mV
477;-3.967mV
478;-4.883mV
479;-2.747mV
480;-3.662mV
481;-1.831mV
482;-3.967mV
483;-915.5uV
484;-1.526mV
485;-3.357mV
486;-2.136mV
487;-2.441mV
488;-1.221mV
489;-4.272mV
490;-3.052mV
491;-2.136mV
492;-2.747mV
493;-4.272mV
494;-1.831mV
495;-2.747mV
496;-2.441mV
497;305.2uV
498;-1.526mV
499;-2.441mV
