Index - Plot 0;Deflection - Plot 0
370;-17.09mV
371;-16.17mV
372;-15.87mV
373;-16.17mV
374;-14.34mV
375;-13.12mV
376;-14.95mV
377;-13.43mV
378;-14.04mV
379;-15.87mV
380;-13.12mV
381;-14.04mV
382;-13.12mV
383;-14.95mV
384;-14.95mV
385;-12.51mV
386;-14.04mV
387;-13.73mV
388;-13.73mV
389;-13.73mV
390;-12.21mV
391;-15.26mV
392;-14.04mV
393;-13.73mV
394;-13.43mV
395;-14.04mV
396;-15.87mV
397;-16.48mV
398;-11.29mV
399;-12.82mV
400;-13.43mV
401;-12.82mV
402;-13.73mV
403;-15.56mV
404;-11.90mV
405;-13.73mV
406;-13.43mV
407;-12.51mV
408;-14.95mV
409;-14.95mV
410;-11.60mV
411;-14.95mV
412;-13.73mV
413;-11.60mV
414;-14.04mV
415;-14.65mV
416;-14.95mV
417;-13.12mV
418;-14.34mV
419;-12.21mV
420;-11.90mV
421;-11.90mV
422;-12.21mV
423;-11.90mV
424;-11.60mV
425;-11.29mV
426;-12.51mV
427;-12.21mV
428;-13.12mV
429;-12.51mV
430;-13.73mV
431;-10.07mV
432;-11.60mV
433;-10.99mV
434;-11.60mV
435;-12.82mV
436;-11.90mV
437;-12.21mV
438;-13.12mV
439;-15.87mV
440;-13.12mV
441;-12.51mV
442;-14.34mV
443;-13.12mV
444;-13.73mV
445;-12.82mV
446;-11.90mV
447;-14.04mV
448;-13.73mV
449;-13.43mV
450;-12.82mV
451;-10.68mV
452;-11.29mV
453;-11.29mV
454;-12.21mV
455;-12.21mV
456;-11.29mV
457;-10.99mV
458;-12.21mV
459;-10.38mV
460;-10.38mV
461;-10.38mV
462;-12.82mV
463;-13.12mV
464;-11.90mV
465;-12.21mV
466;-8.850mV
467;-10.07mV
468;-10.99mV
469;-10.99mV
470;-13.12mV
471;-12.51mV
472;-11.29mV
473;-10.99mV
474;-11.60mV
475;-10.99mV
476;-11.90mV
477;-13.12mV
478;-13.43mV
479;-14.34mV
480;-14.04mV
481;-12.51mV
482;-11.60mV
483;-14.04mV
484;-11.29mV
485;-12.82mV
486;-13.43mV
487;-12.21mV
488;-14.04mV
489;-11.90mV
490;-12.82mV
491;-12.82mV
492;-11.60mV
493;-11.60mV
494;-11.60mV
495;-10.07mV
496;-11.90mV
497;-11.29mV
498;-11.60mV
499;-12.51mV
