Index - Plot 0;Deflection - Plot 0
0;-14.95mV
1;-15.26mV
2;-17.70mV
3;-17.70mV
4;-14.95mV
5;-15.26mV
6;-19.84mV
7;-17.40mV
8;-16.17mV
9;-16.48mV
10;-16.78mV
11;-15.87mV
12;-15.56mV
13;-15.87mV
14;-17.09mV
15;-16.48mV
16;-17.40mV
17;-17.70mV
18;-17.09mV
19;-15.87mV
20;-15.56mV
21;-16.17mV
22;-17.40mV
23;-17.70mV
24;-16.78mV
25;-15.26mV
26;-16.78mV
27;-15.26mV
28;-15.87mV
29;-17.09mV
30;-18.62mV
31;-17.70mV
32;-16.17mV
33;-16.78mV
34;-18.01mV
35;-15.87mV
36;-18.01mV
37;-18.01mV
38;-17.40mV
39;-16.78mV
40;-18.01mV
41;-17.09mV
42;-18.92mV
43;-17.09mV
44;-16.17mV
45;-17.70mV
46;-18.31mV
47;-16.78mV
48;-20.14mV
49;-18.01mV
50;-19.53mV
51;-17.70mV
52;-18.01mV
53;-18.92mV
54;-19.53mV
55;-18.92mV
56;-17.09mV
57;-18.01mV
58;-18.01mV
59;-18.62mV
60;-18.01mV
61;-20.14mV
62;-18.92mV
63;-19.84mV
64;-20.45mV
65;-21.36mV
66;-20.14mV
67;-20.75mV
68;-19.84mV
69;-19.84mV
70;-22.58mV
71;-21.97mV
72;-21.06mV
73;-21.97mV
74;-20.45mV
75;-21.36mV
76;-22.89mV
77;-21.97mV
78;-22.89mV
79;-20.75mV
80;-22.28mV
81;-22.28mV
82;-21.06mV
83;-23.19mV
84;-24.11mV
85;-23.80mV
86;-24.72mV
87;-24.72mV
88;-22.28mV
89;-24.72mV
90;-22.89mV
91;-22.58mV
92;-24.72mV
93;-22.28mV
94;-21.97mV
95;-24.41mV
96;-21.36mV
97;-21.67mV
98;-22.58mV
99;-24.11mV
100;-25.33mV
101;-23.50mV
102;-24.41mV
103;-24.41mV
104;-24.72mV
105;-24.72mV
106;-25.63mV
107;-22.89mV
108;-26.25mV
109;-25.02mV
110;-25.33mV
111;-25.33mV
112;-24.41mV
113;-24.11mV
114;-25.63mV
115;-25.63mV
116;-25.02mV
117;-26.25mV
118;-24.41mV
119;-27.16mV
120;-25.94mV
121;-27.16mV
122;-27.47mV
123;-26.25mV
124;-27.16mV
125;-27.16mV
126;-25.63mV
127;-24.72mV
128;-25.02mV
129;-25.02mV
130;-25.94mV
131;-26.55mV
132;-26.55mV
133;-27.16mV
134;-25.02mV
135;-24.72mV
136;-25.33mV
137;-24.11mV
138;-27.47mV
139;-24.11mV
140;-24.41mV
141;-26.25mV
142;-24.41mV
143;-25.02mV
144;-23.19mV
145;-22.89mV
146;-23.80mV
147;-22.28mV
148;-24.72mV
149;-20.14mV
150;-22.28mV
151;-22.89mV
152;-21.67mV
153;-21.97mV
154;-22.28mV
155;-20.45mV
156;-20.45mV
157;-20.45mV
158;-19.84mV
159;-20.45mV
160;-21.06mV
161;-20.45mV
162;-19.84mV
163;-18.92mV
164;-20.75mV
165;-18.92mV
166;-20.14mV
167;-18.92mV
168;-15.87mV
169;-18.92mV
170;-18.31mV
171;-15.87mV
172;-17.40mV
173;-17.70mV
174;-14.34mV
175;-14.95mV
176;-14.95mV
177;-15.26mV
178;-15.87mV
179;-16.17mV
180;-12.21mV
181;-12.51mV
182;-10.68mV
183;-11.90mV
184;-11.90mV
185;-8.545mV
186;-7.629mV
187;-5.798mV
188;-7.935mV
189;-5.188mV
190;-4.578mV
191;0.000V
192;-1.221mV
193;305.2uV
194;3.052mV
195;2.441mV
196;3.967mV
197;5.188mV
198;7.019mV
199;9.155mV
200;11.90mV
201;14.95mV
202;15.87mV
203;16.17mV
204;18.31mV
205;22.28mV
206;24.72mV
207;26.86mV
208;29.60mV
209;31.13mV
210;34.18mV
211;36.62mV
212;40.89mV
213;44.56mV
214;46.08mV
215;47.30mV
216;53.41mV
217;54.32mV
218;59.20mV
219;61.04mV
220;65.31mV
221;66.53mV
222;70.19mV
223;74.46mV
224;76.90mV
225;78.74mV
226;79.65mV
227;84.84mV
228;87.59mV
229;91.25mV
230;93.08mV
231;96.44mV
232;98.88mV
233;101.3mV
234;104.4mV
235;106.2mV
236;109.6mV
237;111.1mV
238;115.1mV
239;116.6mV
240;119.6mV
241;123.0mV
242;123.9mV
243;126.0mV
244;128.5mV
245;128.8mV
246;130.9mV
247;130.9mV
248;133.7mV
249;137.0mV
250;138.9mV
251;138.9mV
252;140.4mV
253;139.8mV
254;140.4mV
255;143.4mV
256;142.8mV
257;143.7mV
258;142.8mV
259;145.9mV
260;144.0mV
261;146.2mV
262;145.3mV
263;145.3mV
264;144.0mV
265;144.3mV
