Index - Plot 0;Deflection - Plot 0
0;-3.967mV
1;-2.136mV
2;-2.441mV
3;-1.831mV
4;-610.4uV
5;-1.221mV
6;-1.831mV
7;-2.136mV
8;-1.526mV
9;-2.441mV
10;-1.221mV
11;-3.357mV
12;-1.831mV
13;-1.221mV
14;-2.441mV
15;-3.357mV
16;-2.441mV
17;-1.221mV
18;-915.5uV
19;-915.5uV
20;2.136mV
21;-1.831mV
22;-3.357mV
23;-1.221mV
24;-1.526mV
25;-1.831mV
26;-915.5uV
27;-1.526mV
28;-610.4uV
29;-1.526mV
30;-610.4uV
31;-4.578mV
32;-2.441mV
33;-610.4uV
34;-915.5uV
35;-610.4uV
36;-610.4uV
37;-1.526mV
38;1.221mV
39;-3.052mV
40;-1.831mV
41;-3.357mV
42;-3.052mV
43;-2.747mV
44;-3.662mV
45;-3.967mV
46;-3.052mV
47;-3.052mV
48;-3.052mV
49;-2.441mV
50;-2.747mV
51;-4.272mV
52;-3.967mV
53;-2.747mV
54;-4.578mV
55;-4.883mV
56;-4.272mV
57;-4.883mV
58;-5.798mV
59;-3.662mV
60;-3.052mV
61;-5.188mV
62;-6.409mV
63;-5.493mV
64;-6.409mV
65;-3.967mV
66;-3.662mV
67;-4.578mV
68;-4.883mV
69;-3.662mV
70;-3.357mV
71;-6.409mV
72;-7.019mV
73;-4.272mV
74;-6.104mV
75;-7.324mV
76;-3.357mV
77;-6.104mV
78;-5.188mV
79;-6.714mV
80;-5.493mV
81;-4.883mV
82;-6.104mV
83;-4.272mV
84;-7.324mV
85;-5.798mV
86;-6.714mV
87;-5.493mV
88;-5.493mV
89;-5.493mV
90;-4.272mV
91;-7.935mV
92;-6.104mV
93;-6.104mV
94;-6.409mV
95;-6.409mV
96;-6.714mV
97;-6.409mV
98;-8.850mV
99;-6.409mV
100;-8.240mV
101;-7.935mV
102;-7.629mV
103;-7.324mV
104;-9.766mV
105;-7.629mV
106;-7.019mV
107;-7.935mV
108;-7.935mV
109;-9.155mV
110;-7.324mV
111;-7.019mV
112;-8.240mV
113;-7.324mV
114;-7.935mV
115;-7.629mV
116;-6.714mV
117;-7.019mV
118;-7.629mV
119;-8.545mV
120;-7.935mV
121;-9.155mV
122;-10.99mV
123;-9.766mV
124;-9.766mV
125;-9.155mV
126;-10.07mV
127;-8.850mV
128;-9.766mV
129;-7.935mV
130;-11.60mV
131;-12.21mV
132;-9.766mV
133;-10.07mV
134;-10.99mV
135;-11.29mV
136;-9.766mV
137;-9.155mV
138;-9.155mV
139;-9.766mV
140;-9.766mV
141;-9.460mV
142;-11.29mV
143;-12.82mV
144;-10.38mV
145;-10.68mV
146;-10.68mV
147;-9.766mV
148;-9.766mV
149;-8.545mV
150;-8.850mV
151;-10.07mV
152;-10.07mV
153;-10.38mV
154;-10.68mV
155;-11.90mV
156;-11.90mV
157;-9.766mV
158;-7.324mV
159;-11.90mV
160;-10.38mV
161;-9.766mV
162;-8.240mV
163;-11.29mV
164;-9.460mV
165;-9.766mV
166;-9.460mV
167;-10.38mV
168;-8.240mV
169;-7.935mV
170;-9.766mV
171;-9.460mV
172;-9.155mV
173;-7.629mV
174;-8.240mV
175;-8.240mV
176;-8.545mV
177;-9.460mV
178;-7.019mV
179;-7.629mV
180;-8.240mV
181;-9.460mV
182;-9.155mV
183;-9.766mV
184;-7.935mV
185;-7.324mV
186;-7.629mV
187;-9.460mV
188;-7.935mV
189;-6.714mV
190;-6.104mV
191;-8.240mV
192;-7.019mV
193;-7.935mV
194;-7.935mV
195;-6.104mV
196;-4.578mV
197;-4.883mV
198;-4.883mV
199;-5.188mV
200;-6.409mV
201;-5.493mV
202;-3.357mV
203;-3.662mV
204;-3.357mV
205;-1.831mV
206;-3.967mV
207;-2.441mV
208;305.2uV
209;1.526mV
210;-1.221mV
211;2.136mV
212;610.4uV
213;2.136mV
214;610.4uV
215;2.747mV
216;4.272mV
217;3.052mV
218;6.409mV
219;7.019mV
220;8.850mV
221;10.68mV
222;12.51mV
223;14.04mV
224;15.87mV
225;18.31mV
226;19.23mV
227;21.06mV
228;24.72mV
229;30.52mV
230;32.96mV
231;36.93mV
232;39.06mV
233;43.95mV
234;49.74mV
235;53.10mV
236;57.07mV
237;62.87mV
238;69.89mV
239;74.46mV
240;78.74mV
241;83.92mV
242;87.89mV
243;92.77mV
244;96.74mV
245;102.2mV
246;106.2mV
247;110.5mV
248;114.4mV
249;119.0mV
250;123.3mV
251;125.1mV
252;127.6mV
253;131.8mV
254;133.1mV
255;137.3mV
256;138.5mV
257;140.4mV
258;143.7mV
259;145.3mV
260;145.9mV
261;149.5mV
262;148.3mV
263;149.8mV
264;151.4mV
265;150.5mV
266;151.1mV
267;152.3mV
268;151.4mV
269;152.3mV
270;151.4mV
271;148.9mV
272;147.7mV
273;145.6mV
274;144.3mV
275;144.3mV
276;141.0mV
277;137.3mV
278;135.5mV
279;131.5mV
280;131.2mV
281;126.0mV
282;123.9mV
283;119.3mV
284;116.0mV
285;111.1mV
286;107.1mV
287;101.0mV
288;93.99mV
289;88.81mV
290;84.53mV
291;79.04mV
292;72.33mV
293;67.44mV
294;60.73mV
295;54.02mV
296;47.00mV
297;43.03mV
298;33.26mV
299;25.02mV
300;18.31mV
301;9.460mV
302;1.221mV
303;-5.798mV
304;-14.95mV
305;-24.11mV
306;-30.21mV
307;-37.54mV
308;-46.08mV
309;-50.05mV
310;-57.68mV
311;-63.17mV
312;-65.61mV
313;-65.92mV
314;-65.31mV
315;-62.56mV
316;-57.07mV
317;-50.96mV
318;-43.64mV
319;-39.37mV
320;-35.10mV
321;-34.48mV
322;-29.30mV
323;-29.91mV
324;-27.16mV
325;-27.16mV
326;-27.47mV
327;-26.25mV
328;-25.02mV
329;-24.72mV
330;-23.80mV
331;-23.80mV
332;-21.97mV
333;-23.50mV
334;-23.80mV
335;-24.11mV
336;-22.58mV
337;-19.53mV
338;-22.28mV
339;-21.36mV
340;-20.75mV
341;-20.75mV
342;-20.45mV
343;-19.84mV
344;-20.75mV
345;-18.92mV
346;-20.14mV
347;-18.31mV
348;-18.62mV
349;-18.01mV
350;-20.45mV
351;-18.92mV
352;-18.92mV
353;-18.01mV
354;-18.62mV
355;-17.40mV
356;-19.23mV
357;-18.31mV
358;-17.40mV
359;-16.78mV
360;-16.48mV
361;-16.78mV
362;-17.40mV
363;-18.01mV
364;-15.56mV
365;-16.78mV
366;-14.65mV
367;-16.48mV
368;-13.43mV
369;-17.09mV
370;-17.09mV
371;-14.65mV
372;-15.26mV
373;-15.26mV
374;-16.17mV
375;-16.78mV
376;-15.87mV
377;-15.26mV
378;-15.56mV
379;-16.48mV
380;-16.48mV
381;-14.34mV
382;-14.04mV
383;-15.87mV
384;-14.34mV
385;-13.12mV
386;-12.51mV
387;-12.21mV
388;-12.51mV
389;-12.51mV
390;-11.29mV
391;-12.21mV
392;-10.99mV
393;-13.12mV
394;-12.82mV
395;-12.51mV
396;-13.43mV
397;-11.29mV
398;-11.90mV
399;-10.07mV
400;-11.60mV
401;-10.68mV
402;-12.51mV
403;-12.21mV
404;-10.68mV
405;-10.38mV
406;-10.68mV
407;-9.766mV
408;-9.155mV
409;-8.850mV
410;-7.935mV
411;-9.460mV
412;-10.07mV
413;-10.07mV
414;-7.629mV
415;-10.38mV
416;-7.324mV
417;-8.240mV
418;-9.460mV
419;-6.714mV
420;-7.935mV
421;-7.019mV
422;-8.545mV
423;-9.460mV
424;-7.935mV
425;-7.324mV
426;-6.104mV
427;-7.935mV
428;-7.019mV
429;-6.714mV
430;-9.155mV
431;-9.766mV
432;-9.155mV
433;-7.935mV
434;-7.019mV
435;-6.409mV
436;-7.324mV
437;-5.493mV
438;-7.019mV
439;-6.714mV
440;-7.629mV
441;-4.883mV
